Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),Vibration (g),App message,
11.977759999999776,1192,,,,-0.287109375,0.19140625,-0.88671875,,,22.598172055907984,3.3594373228191543,8146,0,75.91714263210613,,193.19100693380506,,,0.876953125,,
12.003174999999814,1192,,,,0.197265625,-0.18359375,-1.123046875,0.13091707611584896,1.2827802494982694,22.594994401648528,3.385294654869245,8392,0,76.49071377470128,155.9900445978659,203.9333102019744,0.008223475112179173,0.01677040500990251,0.8828125,,
12.026084999999032,1192,,,,-0.07421875,-0.263671875,-0.94140625,,,22.593255872373113,3.402663709395048,8992,0,76.87725183400055,,217.41749363471078,,,0.888671875,,
12.052259999999777,1198,,,,-0.0234375,-0.15625,-0.947265625,,,22.591097284111928,3.413087078594973,9260,0,77.10538223168442,,223.24053239988362,,,0.892578125,,
12.081115000000224,1204,,,,-0.236328125,0.2734375,-0.919921875,,,22.58795917235499,3.4586382122646206,8535,0,78.12357873058009,,203.0732819626735,,,0.896484375,,
12.103825000000187,1204,,,,0.228515625,0.060546875,-1.005859375,,,22.586066243846123,3.4765628264662762,8700,0,78.52187829946023,,205.93807291650305,,,0.900390625,,
12.13283999999985,1204,,,,-0.109375,-0.291015625,-1.1328125,,,22.580754532281865,3.5534142480787114,8462,0,80.23877488737833,,196.02596059644725,,,0.900390625,,
12.154759999999776,1204,,,,0.125,0.130859375,-0.96484375,0.14297614598814004,1.3942327982030274,22.57556768500202,3.6258531670869942,8663,0,81.85569358945138,175.8537681241673,214.83388682302888,0.007928364646804633,0.0170328139322333,0.904296875,,
12.180169999999926,1211,,,,-0.38671875,0.1171875,-0.9375,,,22.5679733816168,3.707391070082565,9273,0,83.66830298486714,,224.97252662646136,,,0.9140625,,
12.204245000000112,1211,,,,0.3125,-0.1171875,-0.93359375,,,22.56454300184248,3.7451605154454697,8945,0,84.50783549957185,,214.87697925426406,,,0.919921875,,
12.230609999999404,1217,,,,-0.07421875,0.091796875,-0.951171875,,,22.559248580637178,3.8167738427695372,8891,0,86.10354989511178,,209.61221389044854,,,0.92578125,,
12.254245000000111,1217,,,,-0.099609375,0.17578125,-1.087890625,,,22.553125129180877,3.8837555391826424,8929,0,87.59082464633548,,206.94046683306868,,,0.9296875,,
12.279469999999739,1217,,,,-0.0859375,-0.04296875,-0.876953125,,,22.54813405339025,3.9478414593111903,9059,0,89.0164584460805,,206.59604127224736,,,0.9296875,,
12.305249999999068,1217,,,,0.26171875,-0.19921875,-1.005859375,0.14997420427933297,1.5165821041242376,22.539859803881832,4.050545196388947,9534,0,91.29872085589388,203.00391814185718,222.35132785954258,0.007470703610087292,0.01661120867747988,0.939453125,,
12.326459999999964,1217,,,,0.037109375,-0.169921875,-0.955078125,,,22.533924038636712,4.136790058309909,9683,0,93.21811293774303,,221.17947664498362,,,0.943359375,,
12.35416000000015,1217,,,,-0.046875,0.330078125,-1.13671875,,,22.52955272329397,4.207938291062378,9750,0,94.80296758485738,,218.99577459031843,,,0.96484375,,
12.376120000000112,1217,,,,0.64453125,-0.076171875,-0.9609375,,,22.52597752186005,4.250252279698925,10531,0,95.74108731473241,,234.20942002262964,,,0.96484375,,
12.403985000000334,1217,,,,-0.125,0.296875,-0.95703125,,,22.522777209749627,4.29875319065183,10689,0,96.81986039275152,,235.07786305921664,,,0.9765625,,
12.427219999999739,1217,,,,-0.38671875,-0.154296875,-0.95703125,,,22.52088107417421,4.319625890523955,10782,0,97.28178096541386,,236.00064222077117,,,0.984375,,
12.455939999999478,1217,,,,-0.26171875,-0.490234375,-0.71875,0.15994459352801832,1.5877396916087718,22.519246770075938,4.345481333151193,11317,0,97.85696647599029,256.9942097044647,262.6222934955985,0.0061781146487098785,0.016225106385229424,0.990234375,,
12.480974999999628,1223,,,,0.25,-0.185546875,-1.134765625,,,22.517897334098393,4.3590459054257025,11666,0,98.15654817299794,,269.9102865950482,,,1,,
12.503955000000074,1223,,,,0.4375,0.375,-1.1171875,,,22.517165373512803,4.368519236533658,12702,0,98.36667008640026,,293.2336185898408,,,1.025390625,,
12.525604999999516,1223,,,,-0.349609375,-0.28125,-0.7578125,,,22.515935968927376,4.397157417284458,12295,0,99.00611485287092,,282.01241527167946,,,1.037109375,,
12.555024999999441,1223,,,,-0.640625,0.0625,-0.990234375,,,22.51224642323815,4.463221190750092,11574,0,100.47713528758447,,261.596571314594,,,1.05859375,,
12.576834999999964,1223,,,,-0.34375,0.216796875,-0.87890625,,,22.509409768088446,4.503959931396778,10376,0,101.38147967486161,,232.40745812950388,,,1.078125,,
12.60821499999985,1223,,,,-0.0234375,0.42578125,-0.98046875,0.1710821290653281,1.6851203054715649,22.505928855024646,4.542358757964749,10107,0,102.23000304075275,245.51299219267455,240.15747323689678,0.00686367059609257,0.01648361787487977,1.111328125,,
12.63190500000026,1223,,,,0.46875,-0.408203125,-0.916015625,,,22.504488608441566,4.563000000842942,10563,0,102.68798153928886,,249.85665591788973,,,1.138671875,,
12.654804999999701,1223,,,,0.19921875,0.51953125,-0.859375,,,22.503285051300765,4.579973113279291,11225,0,103.06444049541729,,264.54290703062964,,,1.16015625,,
12.675950000000187,1223,,,,0.125,0.271484375,-0.93359375,,,22.50194244055722,4.5950608047856925,10631,0,103.39779374014819,,249.74048765406738,,,1.181640625,,
12.704479999999515,1223,,,,-0.375,0.23046875,-1.267578125,,,22.500071218760205,4.603761312787421,10710,0,103.58495741188996,,251.1417857705235,,,1.203125,,
12.728554999999702,1223,,,,-0.05078125,-0.021484375,-1.01953125,,,22.499501333670114,4.605478355475743,11237,0,103.62096640121531,,263.4204258039121,,,1.212890625,,
12.758304999999702,1223,,,,0,0.03515625,-0.984375,0.1763269380605189,1.7823458229685734,22.49933803472472,4.603161419163516,11331,0,103.56808479816311,283.6809621202301,273.90770300819685,0.006282923639455146,0.017209411822590594,1.232421875,,
12.78053500000015,1223,,,,0.34375,0.484375,-1.18359375,,,22.49813285908329,4.6215339048722655,10958,0,103.97588380457422,,263.8321986337631,,,1.244140625,,
12.804080000000074,1223,,,,-0.125,-0.40234375,-0.982421875,,,22.498183423983196,4.621179142687101,10735,0,103.96813598725981,,258.4952065963719,,,1.2578125,,
12.825830000000074,1223,,,,0.236328125,-0.408203125,-0.966796875,,,22.49752102249952,4.61798178569946,10655,0,103.89314230529347,,256.74917659075066,,,1.265625,,
12.854304999999702,1223,,,,0.0625,0.24609375,-0.990234375,,,22.497436198212753,4.612160017235551,10819,0,103.76177572370464,,261.0351623856396,,,1.287109375,,
12.877125,1230,,,,0.33203125,-0.1484375,-1.015625,,,22.496504784984737,4.61698192802735,11293,0,103.86595603605534,,272.19457034292657,,,1.314453125,,
12.904125,1230,,,,-0.0234375,-0.23046875,-0.8359375,0.1773456176315625,1.865270273358044,22.49633618552262,4.614778269216261,10463,0,103.81560336593321,263.4474599435998,253.76480163101314,0.007080236316407722,0.017967147643339006,1.326171875,,
12.92955999999959,1230,,,,0.0625,-0.29296875,-0.94140625,,,22.49508966475197,4.628357686103554,11270,0,104.11532114944339,,272.5553765911396,,,1.33203125,,
12.956150000000372,1230,,,,0.111328125,-0.3125,-0.83203125,,,22.49124444688483,4.667416884037031,11332,0,104.97601407439439,,271.80797253035604,,,1.353515625,,
12.97991000000015,1230,,,,-0.009765625,-0.318359375,-1.09765625,,,22.488281546893695,4.698396573206738,10889,0,105.65886495723366,,259.49293271966513,,,1.388671875,,
13.004554999999701,1230,,,,-0.048828125,-0.326171875,-0.546875,,,22.48619503453,4.726330280631606,11253,0,106.2771844878872,,266.60371181841526,,,1.400390625,,
13.028014999999664,1230,,,,-0.484375,0.169921875,-1.046875,,,22.484159976678868,4.7477856095059785,12290,0,106.74997117910621,,289.87967090946216,,,1.416015625,,
13.054365000000223,1230,,,,0.13671875,-0.181640625,-1.115234375,0.17688953831794638,1.9628915939198774,22.481824012830323,4.761412545774265,11340,0,107.04523890657943,284.8014534463172,266.05709544435626,0.006892140367148326,0.018337028474782826,1.41796875,,
13.07596499999985,1230,,,,-0.17578125,-0.314453125,-0.9296875,,,22.481085527938845,4.769792427715501,11138,0,107.23011151798724,,260.85821351275825,,,1.4453125,,
13.10596999999974,1230,,,,0.09375,-0.099609375,-0.8203125,,,22.47959648865816,4.788017928030431,10554,0,107.6327110025852,,246.2686858031431,,,1.45703125,,
13.127864999999293,1230,,,,0.53125,-0.12109375,-1.115234375,,,22.478075843563747,4.792069263824807,12173,0,107.7164963598647,,283.813997441991,,,1.4765625,,
13.154354999999516,1230,,,,0.03125,0.376953125,-0.9140625,,,22.47760463715585,4.796341887496773,12519,0,107.8102766517823,,291.63563996608815,,,1.50390625,,
13.191290000000038,1230,,,,-0.83203125,0.384765625,-1.158203125,,,22.476001865296457,4.810124033029849,11697,0,108.1123567386862,,271.7188163446237,,,1.521484375,,
13.212819999999367,1230,,,,0.234375,-0.32421875,-1.0390625,0.17726469430867367,2.0260013633999763,22.475767011544363,4.812577498992505,11836,0,108.16637059235643,297.8963453206292,275.4056955865727,0.006801027925399245,0.018730418264982847,1.546875,,
13.233625,1230,,,,-0.453125,-0.2265625,-0.92578125,,,22.475365309262774,4.817987870002776,11994,0,108.28603743390923,,278.77547065121627,,,1.556640625,,
13.256799999999814,1230,,,,-0.1875,0.029296875,-0.90625,,,22.474715824147967,4.823071823982158,10931,0,108.397168643454,,253.81096141342624,,,1.58984375,,
13.278834999999964,1230,,,,0.611328125,-0.55859375,-0.75390625,,,22.474618375617183,4.821982050109851,9416,0,108.37220639029506,,218.66642868502305,,,1.607421875,,
13.301679999999703,1230,,,,-0.171875,-0.048828125,-1.056640625,,,22.474268199830576,4.819643748366248,10650,0,108.3179662284198,,247.46865627944433,,,1.623046875,,
13.326424999999814,1230,,,,0.361328125,0.03515625,-0.9296875,,,22.474157462347165,4.824728297673635,11397,0,108.43170347495946,,264.5347679175247,,,1.62890625,,
13.354365000000223,1230,,,,0.037109375,-0.234375,-1.09375,0.1774052873484097,2.059631844768866,22.473731006911116,4.82592264230907,11323,0,108.45648732341577,285.20753272699176,262.96954637347494,0.0072215198002515595,0.018990397859992195,1.65234375,,
